the_geom,median_household_total_income_2015_2015_constant_dollars,rank_going_up,ctcode,number_of_households_2015,median_household_total_income_2005_2015_constant_dollars,cartodb_id,number_of_households_2005,median_household_total_income_2005_2015_constant_dollars_2,percentage_change,province_territory,geographic_code_province_territory,census_metropolitan_area_census_agglomeration
,50613,947,9330065,4515,43044,639,4145,43044,17.58433231,British Columbia,59,Vancouver (CMA)
,50576,943,9330055.02,2440,43174,640,2435,43174,17.14457776,British Columbia,59,Vancouver (CMA)
,50560,942,9250200,1090,54497,641,1090,54497,-7.224250876,British Columbia,59,Kamloops (CA)
,50400,932,9330130.03,2445,49946,642,2365,49946,0.9089817,British Columbia,59,Vancouver (CMA)
,50096,915,9330227.02,2760,44839,643,2720,44839,11.72416869,British Columbia,59,Vancouver (CMA)
,49998,907,9330060.02,3985,41409,644,3730,41409,20.74186771,British Columbia,59,Vancouver (CMA)
,49440,872,9330147.05,1830,48022,645,1545,48022,2.952813294,British Columbia,59,Vancouver (CMA)
,49344,864,9350125.01,2705,45077,647,2560,45077,9.466024802,British Columbia,59,Victoria (CMA)
,49216,858,9320007.02,2865,46840,648,2525,46840,5.072587532,British Columbia,59,Abbotsford - Mission (CMA)
,49008,840,9320200,1775,45392,650,1750,45392,7.966161438,British Columbia,59,Abbotsford - Mission (CMA)
,48768,828,9330064,3085,41088,651,3000,41088,18.69158879,British Columbia,59,Vancouver (CMA)
,48597,822,9320102,2200,46032,652,2005,46032,5.572210636,British Columbia,59,Abbotsford - Mission (CMA)
,48540,820,9330191.04,3245,46983,653,2090,46983,3.313964626,British Columbia,59,Vancouver (CMA)
,48474,816,9330204.02,2685,46098,654,2580,46098,5.154236626,British Columbia,59,Vancouver (CMA)
,48192,795,9330170.03,2590,43176,655,2330,43176,11.61756531,British Columbia,59,Vancouver (CMA)
,48081,786,9330147.08,3530,47294,658,2750,47294,1.664058866,British Columbia,59,Vancouver (CMA)
,47781,765,9350012,3050,44372,659,2585,44372,7.68277292,British Columbia,59,Victoria (CMA)
,47531,744,9330228.03,2215,40431,660,2195,40431,17.56078257,British Columbia,59,Vancouver (CMA)
,47232,727,9330205.02,3055,43451,661,2845,43451,8.701756001,British Columbia,59,Vancouver (CMA)
,46805,695,9350004,3955,41965,662,3785,41965,11.53342071,British Columbia,59,Victoria (CMA)
,46746,693,9700008,1845,41767,663,1855,41767,11.92089449,British Columbia,59,Prince George (CA)
,46513,675,9150007,3735,41112,665,3305,41112,13.13728352,British Columbia,59,Kelowna (CMA)
,46315,660,9380012,1815,42438,666,1705,42438,9.135680287,British Columbia,59,Nanaimo (CA)
,45792,634,9350008,2000,41087,667,1970,41087,11.45131063,British Columbia,59,Victoria (CMA)
,45491,616,9380013,2385,41342,668,2185,41342,10.03579895,British Columbia,59,Nanaimo (CA)
,45483,614,9330205.01,2430,41745,669,2215,41745,8.954365792,British Columbia,59,Vancouver (CMA)
,45120,592,9700013,1040,38961,670,1040,38961,15.80811581,British Columbia,59,Prince George (CA)
,44902,573,9150009.01,1755,40578,671,1590,40578,10.6560205,British Columbia,59,Kelowna (CMA)
,44730,562,9380014,3035,40002,672,2670,40002,11.81940903,British Columbia,59,Nanaimo (CA)
,44442,542,9330224.01,3195,40022,674,2570,40022,11.04392584,British Columbia,59,Vancouver (CMA)
,44395,539,9330226.04,1230,40820,675,1205,40820,8.757961783,British Columbia,59,Vancouver (CMA)
,44357,535,9350007,3470,40189,676,3405,40189,10.37099704,British Columbia,59,Victoria (CMA)
,44325,533,9330191.07,2055,44043,677,1195,44043,0.640283359,British Columbia,59,Vancouver (CMA)
,44203,523,9330285.01,1855,39992,678,1690,39992,10.52960592,British Columbia,59,Vancouver (CMA)
,44181,521,9300010,775,37675,679,595,37675,17.26874585,British Columbia,59,Chilliwack (CA)
,44160,520,9330005,4325,40034,680,4140,40034,10.3062397,British Columbia,59,Vancouver (CMA)
,44032,506,9320007.01,2035,41054,681,1775,41054,7.253860769,British Columbia,59,Abbotsford - Mission (CMA)
,44006,504,9330170.05,1805,46449,682,1605,46449,-5.25953196,British Columbia,59,Vancouver (CMA)
,44000,503,9350010,5570,32522,683,4170,32522,35.29303241,British Columbia,59,Victoria (CMA)
,43995,502,9330050.04,1875,36016,684,1910,36016,22.15404265,British Columbia,59,Vancouver (CMA)
,43989,501,9330067.01,2545,35774,685,2550,35774,22.96360485,British Columbia,59,Vancouver (CMA)
,43981,499,9320103,880,33447,686,590,33447,31.4946034,British Columbia,59,Abbotsford - Mission (CMA)
,43241,473,9330287.09,3160,45636,687,960,45636,-5.248049785,British Columbia,59,Vancouver (CMA)
,43187,469,9300004,800,39510,688,790,39510,9.306504682,British Columbia,59,Chilliwack (CA)
,42510,427,9330235.03,2205,44073,690,1710,44073,-3.546388946,British Columbia,59,Vancouver (CMA)
